DATE/TIME,"Limbang, SARAWAK","ILP Miri, SARAWAK","Kapit, SARAWAK","Samarahan, SARAWAK","Kuching, SARAWAK"
1/1/2019 0:00,30,42,32,26,34
1/1/2019 1:00,30,45,35,26,34
1/1/2019 2:00,29,44,37,26,33
1/1/2019 3:00,29,45,38,27,34
1/1/2019 4:00,29,43,40,26,34
1/1/2019 5:00,29,43,42,26,34
1/1/2019 6:00,29,43,42,26,32
1/1/2019 7:00,29,40,42,27,33
1/1/2019 8:00,28,38,42,26,32
1/1/2019 9:00,28,40,42,26,32
1/1/2019 10:00,28,39,43,26,31
1/1/2019 11:00,28,38,43,25,31
1/1/2019 12:00,27,36,44,26,30
1/1/2019 13:00,26,36,44,27,30
1/1/2019 14:00,26,36,44,24,30
1/1/2019 15:00,26,35,45,24,31
1/1/2019 16:00,25,35,45,25,32
1/1/2019 17:00,25,36,45,23,32
1/1/2019 18:00,26,35,44,24,33
1/1/2019 19:00,28,35,44,24,33
1/1/2019 20:00,27,35,42,24,33
1/1/2019 21:00,26,35,40,23,34
1/1/2019 22:00,25,35,40,23,34
1/1/2019 23:00,23,35,40,23,33
1/2/2019 0:00,22,32,38,22,33
1/2/2019 1:00,23,30,34,21,34
1/2/2019 2:00,22,30,33,22,33
1/2/2019 3:00,22,30,34,22,33
1/2/2019 4:00,21,29,31,23,34
1/2/2019 5:00,20,29,30,23,33
1/2/2019 6:00,20,29,29,24,35
1/2/2019 7:00,20,29,28,23,35
1/2/2019 8:00,20,29,29,23,36
1/2/2019 9:00,20,27,29,23,38
1/2/2019 10:00,20,25,30,23,40
1/2/2019 11:00,19,26,29,23,41
1/2/2019 12:00,20,27,29,23,42
1/2/2019 13:00,20,27,30,23,42
1/2/2019 14:00,20,27,30,23,43
1/2/2019 15:00,21,29,30,23,42
1/2/2019 16:00,21,27,30,23,42
1/2/2019 17:00,20,30,30,23,41
1/2/2019 18:00,19,30,31,22,41
1/2/2019 19:00,19,30,31,22,40
1/2/2019 20:00,22,28,30,21,40
1/2/2019 21:00,23,27,31,21,39
1/2/2019 22:00,25,26,29,21,38
1/2/2019 23:00,26,26,28,21,38
1/3/2019 0:00,28,26,27,20,38
1/3/2019 1:00,28,25,27,20,38
1/3/2019 2:00,29,25,25,20,38
1/3/2019 3:00,30,24,25,20,38
1/3/2019 4:00,30,25,24,19,37
1/3/2019 5:00,31,25,24,18,37
1/3/2019 6:00,31,26,24,18,36
1/3/2019 7:00,32,25,25,17,36
1/3/2019 8:00,32,25,25,17,35
1/3/2019 9:00,32,25,25,16,35
1/3/2019 10:00,32,26,25,15,35
1/3/2019 11:00,33,26,24,15,35
1/3/2019 12:00,33,26,24,16,35
1/3/2019 13:00,33,27,23,16,35
1/3/2019 14:00,34,26,23,18,35
1/3/2019 15:00,34,26,22,20,35
1/3/2019 16:00,33,26,23,20,36
1/3/2019 17:00,34,24,23,22,36
1/3/2019 18:00,35,22,23,22,36
